Name,Light_Years_From_Earth,Planet_Mass,Stellar_Magnitude,Discovery_Date 
Kepler-1079 b,1569,3.29 Earths,12.584,2016
Kepler-1071 b,3145,6.26 Earths,15.829,2016
Kepler-1072 b,3184,3.12 Earths,13.842,2016
Kepler-1073 b,2730,5.9 Earths,14.532,2016
Kepler-1073 c,2730,3.33 Earths,14.532,2016
Kepler-1074 b,799,2.1 Earths,15.006,2016
Kepler-1075 b,864,2.6 Earths,15.37,2016
Kepler-1076 b,649,0.437 Earths,12.949,2016
Kepler-1077 b,3582,8.1 Earths,14.998,2016
Kepler-1078 b,3963,4.27 Earths,15.607,2016
Kepler-1079 b,1569,3.29 Earths,12.584,2016
Kepler-1071 b,3145,6.26 Earths,15.829,2016
Kepler-1072 b,3184,3.12 Earths,13.842,2016
Kepler-1073 b,2730,5.9 Earths,14.532,2016
Kepler-1073 c,2730,3.33 Earths,14.532,2016
Kepler-1074 b,799,2.1 Earths,15.006,2016
Kepler-1075 b,864,2.6 Earths,15.37,2016
Kepler-1076 b,649,0.437 Earths,12.949,2016
Kepler-1077 b,3582,8.1 Earths,14.998,2016
Kepler-1078 b,3963,4.27 Earths,15.607,2016
Kepler-1079 b,1569,3.29 Earths,12.584,2016
Kepler-1071 b,3145,6.26 Earths,15.829,2016
Kepler-1072 b,3184,3.12 Earths,13.842,2016
Kepler-1073 b,2730,5.9 Earths,14.532,2016
Kepler-1073 c,2730,3.33 Earths,14.532,2016
Kepler-1074 b,799,2.1 Earths,15.006,2016
Kepler-1075 b,864,2.6 Earths,15.37,2016
Kepler-1076 b,649,0.437 Earths,12.949,2016
Kepler-1077 b,3582,8.1 Earths,14.998,2016
Kepler-1078 b,3963,4.27 Earths,15.607,2016
Kepler-1079 b,1569,3.29 Earths,12.584,2016
Kepler-1071 b,3145,6.26 Earths,15.829,2016
Kepler-1072 b,3184,3.12 Earths,13.842,2016
Kepler-1073 b,2730,5.9 Earths,14.532,2016
Kepler-1073 c,2730,3.33 Earths,14.532,2016
Kepler-1074 b,799,2.1 Earths,15.006,2016
Kepler-1075 b,864,2.6 Earths,15.37,2016
Kepler-1076 b,649,0.437 Earths,12.949,2016
Kepler-1077 b,3582,8.1 Earths,14.998,2016
Kepler-1078 b,3963,4.27 Earths,15.607,2016
Kepler-1079 b,1569,3.29 Earths,12.584,2016
Kepler-1071 b,3145,6.26 Earths,15.829,2016
Kepler-1072 b,3184,3.12 Earths,13.842,2016
Kepler-1073 b,2730,5.9 Earths,14.532,2016
Kepler-1073 c,2730,3.33 Earths,14.532,2016
Kepler-1074 b,799,2.1 Earths,15.006,2016
Kepler-1075 b,864,2.6 Earths,15.37,2016
Kepler-1076 b,649,0.437 Earths,12.949,2016
Kepler-1077 b,3582,8.1 Earths,14.998,2016
Kepler-1078 b,3963,4.27 Earths,15.607,2016
Kepler-1079 b,1569,3.29 Earths,12.584,2016
Kepler-1071 b,3145,6.26 Earths,15.829,2016
Kepler-1072 b,3184,3.12 Earths,13.842,2016
Kepler-1073 b,2730,5.9 Earths,14.532,2016
Kepler-1073 c,2730,3.33 Earths,14.532,2016
Kepler-1074 b,799,2.1 Earths,15.006,2016
Kepler-1075 b,864,2.6 Earths,15.37,2016
Kepler-1076 b,649,0.437 Earths,12.949,2016
Kepler-1077 b,3582,8.1 Earths,14.998,2016
Kepler-1078 b,3963,4.27 Earths,15.607,2016
Kepler-1079 b,1569,3.29 Earths,12.584,2016
Kepler-1092 b,2981,4.94 Earths,14.616,2016
Kepler-1093 b,2766,4.46 Earths,13.808,2016
Kepler-1093 c,2766,4.5 Earths,13.808,2016
Kepler-1094 b,4472,10.2 Earths,14.961,2016
Kepler-1095 b,2473,1.92 Earths,14.526,2016
Kepler-1096 b,1122,2.07 Earths,15.061,2016
Kepler-1097 b,2407,10.7 Earths,15.207,2016
Kepler-1098 b,2858,2.24 Earths,14.733,2016
Kepler-1099 b,3944,8.4 Earths,15.134,2016
Kepler-109 b,1570,7.3 Earths,12.295,2014
Kepler-109 c,1570,21.8 Earths,12.295,2014
Kepler-10 b,608,4.60853 Earths,10.94,2011
Kepler-10 c,608,7.37 Earths,10.94,2011
Kepler-1100 b,3066,3.71 Earths,13.822,2016
Kepler-1101 b,2926,6.66 Earths,15.096,2016
Kepler-1102 b,3216,7.56 Earths,14.922,2016
Kepler-1103 b,3004,5.77 Earths,14.073,2016
Kepler-1104 b,1683,2.04 Earths,12.083,2016
Kepler-1105 b,1204,4.7 Earths,15.142,2016
Kepler-1106 b,3810,3.36 Earths,14.628,2016
Kepler-1107 b,1491,2.36 Earths,14.128,2016
Kepler-1108 b,2492,2.73 Earths,14.919,2016
Kepler-1109 b,2600,5.43 Earths,14.266,2016
Kepler-110 b,1946,4.01 Earths,12.902,2014
Kepler-110 c,1946,5.52 Earths,12.902,2014
Kepler-1110 b,2368,7.56 Earths,15.887,2016
Kepler-1111 b,3725,4.66 Earths,14.715,2016
Kepler-1112 b,5656,9.38 Earths,14.561,2016
Kepler-1113 b,3676,8.3 Earths,14.783,2016
Kepler-1114 b,1393,2.39 Earths,13.758,2016
Kepler-1107 b,1491,2.36 Earths,14.128,2016
Kepler-1108 b,2492,2.73 Earths,14.919,2016
Kepler-1109 b,2600,5.43 Earths,14.266,2016
Kepler-110 b,1946,4.01 Earths,12.902,2014
Kepler-110 c,1946,5.52 Earths,12.902,2014
Kepler-1110 b,2368,7.56 Earths,15.887,2016
Kepler-1111 b,3725,4.66 Earths,14.715,2016
Kepler-1112 b,5656,9.38 Earths,14.561,2016
Kepler-1113 b,3676,8.3 Earths,14.783,2016
Kepler-1114 b,1393,2.39 Earths,13.758,2016
Kepler-1123 b,2597,3.43 Earths,14.807,2016
Kepler-1124 b,577,2.18 Earths,15.968,2016
Kepler-1125 b,2968,4.04 Earths,14.877,2016
Kepler-1126 b,2179,3.64 Earths,14.021,2016
Kepler-1127 b,3249,4.5 Earths,15.133,2016
Kepler-1128 b,3794,12.9 Earths,15.686,2016
Kepler-1129 b,4104,9.06 Earths,15.257,2016
Kepler-1129 c,4104,7.9 Earths,15.257,2016
Kepler-112 b,1699,6.17 Earths,13.766,2014
Kepler-112 c,1699,6.35 Earths,13.766,2014
Kepler-1123 b,2597,3.43 Earths,14.807,2016
Kepler-1124 b,577,2.18 Earths,15.968,2016
Kepler-1125 b,2968,4.04 Earths,14.877,2016
Kepler-1126 b,2179,3.64 Earths,14.021,2016
Kepler-1127 b,3249,4.5 Earths,15.133,2016
Kepler-1128 b,3794,12.9 Earths,15.686,2016
Kepler-1129 b,4104,9.06 Earths,15.257,2016
Kepler-1129 c,4104,7.9 Earths,15.257,2016
Kepler-112 b,1699,6.17 Earths,13.766,2014
Kepler-112 c,1699,6.35 Earths,13.766,2014
Kepler-1147 b,4815,7.32 Earths,15.356,2016
Kepler-1148 b,2225,3.5 Earths,15.281,2016
Kepler-1149 b,3337,2.67 Earths,14.931,2016
Kepler-114 b,853,6.8 Earths,13.712,2014
Kepler-114 c,853,2.8 Earths,13.712,2013
Kepler-114 d,853,3.9 Earths,13.712,2013
Kepler-1150 b,1217,1.04 Earths,14.423,2016
Kepler-1151 b,2489,5.56 Earths,14.857,2016
Kepler-1152 b,600,0.59 Earths,14.598,2016
Kepler-1153 b,3865,3.64 Earths,15.798,2016
Kepler-1147 b,4815,7.32 Earths,15.356,2016
Kepler-1148 b,2225,3.5 Earths,15.281,2016
Kepler-1149 b,3337,2.67 Earths,14.931,2016
Kepler-114 b,853,6.8 Earths,13.712,2014
Kepler-114 c,853,2.8 Earths,13.712,2013
Kepler-114 d,853,3.9 Earths,13.712,2013
Kepler-1150 b,1217,1.04 Earths,14.423,2016
Kepler-1151 b,2489,5.56 Earths,14.857,2016
Kepler-1152 b,600,0.59 Earths,14.598,2016
Kepler-1153 b,3865,3.64 Earths,15.798,2016
Kepler-1147 b,4815,7.32 Earths,15.356,2016
Kepler-1148 b,2225,3.5 Earths,15.281,2016
Kepler-1149 b,3337,2.67 Earths,14.931,2016
Kepler-114 b,853,6.8 Earths,13.712,2014
Kepler-114 c,853,2.8 Earths,13.712,2013
Kepler-114 d,853,3.9 Earths,13.712,2013
Kepler-1150 b,1217,1.04 Earths,14.423,2016
Kepler-1151 b,2489,5.56 Earths,14.857,2016
Kepler-1152 b,600,0.59 Earths,14.598,2016
Kepler-1153 b,3865,3.64 Earths,15.798,2016
Kepler-1147 b,4815,7.32 Earths,15.356,2016
Kepler-1148 b,2225,3.5 Earths,15.281,2016
Kepler-1149 b,3337,2.67 Earths,14.931,2016
Kepler-114 b,853,6.8 Earths,13.712,2014
Kepler-114 c,853,2.8 Earths,13.712,2013
Kepler-114 d,853,3.9 Earths,13.712,2013
Kepler-1150 b,1217,1.04 Earths,14.423,2016
Kepler-1151 b,2489,5.56 Earths,14.857,2016
Kepler-1152 b,600,0.59 Earths,14.598,2016
Kepler-1153 b,3865,3.64 Earths,15.798,2016
Kepler-1147 b,4815,7.32 Earths,15.356,2016
Kepler-1148 b,2225,3.5 Earths,15.281,2016
Kepler-1149 b,3337,2.67 Earths,14.931,2016
Kepler-114 b,853,6.8 Earths,13.712,2014
Kepler-114 c,853,2.8 Earths,13.712,2013
Kepler-114 d,853,3.9 Earths,13.712,2013
Kepler-1150 b,1217,1.04 Earths,14.423,2016
Kepler-1151 b,2489,5.56 Earths,14.857,2016
Kepler-1152 b,600,0.59 Earths,14.598,2016
Kepler-1153 b,3865,3.64 Earths,15.798,2016
Kepler-1147 b,4815,7.32 Earths,15.356,2016
Kepler-1148 b,2225,3.5 Earths,15.281,2016
Kepler-1149 b,3337,2.67 Earths,14.931,2016
Kepler-114 b,853,6.8 Earths,13.712,2014
Kepler-114 c,853,2.8 Earths,13.712,2013
Kepler-114 d,853,3.9 Earths,13.712,2013
Kepler-1150 b,1217,1.04 Earths,14.423,2016
Kepler-1151 b,2489,5.56 Earths,14.857,2016
Kepler-1152 b,600,0.59 Earths,14.598,2016
Kepler-1153 b,3865,3.64 Earths,15.798,2016
Kepler-1147 b,4815,7.32 Earths,15.356,2016
Kepler-1148 b,2225,3.5 Earths,15.281,2016
Kepler-1149 b,3337,2.67 Earths,14.931,2016
Kepler-114 b,853,6.8 Earths,13.712,2014
Kepler-114 c,853,2.8 Earths,13.712,2013
Kepler-114 d,853,3.9 Earths,13.712,2013
Kepler-1150 b,1217,1.04 Earths,14.423,2016
Kepler-1151 b,2489,5.56 Earths,14.857,2016
Kepler-1152 b,600,0.59 Earths,14.598,2016
Kepler-1153 b,3865,3.64 Earths,15.798,2016
Kepler-1147 b,4815,7.32 Earths,15.356,2016
Kepler-1148 b,2225,3.5 Earths,15.281,2016
Kepler-1149 b,3337,2.67 Earths,14.931,2016
Kepler-114 b,853,6.8 Earths,13.712,2014
Kepler-114 c,853,2.8 Earths,13.712,2013
Kepler-114 d,853,3.9 Earths,13.712,2013
Kepler-1150 b,1217,1.04 Earths,14.423,2016
Kepler-1151 b,2489,5.56 Earths,14.857,2016
Kepler-1152 b,600,0.59 Earths,14.598,2016
Kepler-1153 b,3865,3.64 Earths,15.798,2016
Kepler-1147 b,4815,7.32 Earths,15.356,2016
Kepler-1148 b,2225,3.5 Earths,15.281,2016
Kepler-1149 b,3337,2.67 Earths,14.931,2016
Kepler-114 b,853,6.8 Earths,13.712,2014
Kepler-114 c,853,2.8 Earths,13.712,2013
Kepler-114 d,853,3.9 Earths,13.712,2013
Kepler-1150 b,1217,1.04 Earths,14.423,2016
Kepler-1151 b,2489,5.56 Earths,14.857,2016
Kepler-1152 b,600,0.59 Earths,14.598,2016
Kepler-1153 b,3865,3.64 Earths,15.798,2016
Kepler-1154 b,4994,6.08 Earths,14.779,2016
Kepler-1154 c,4994,6.17 Earths,14.779,2016
Kepler-1155 b,3220,4.78 Earths,14.739,2016
Kepler-1156 b,2476,2.3 Earths,14.126,2016
Kepler-1157 b,1129,1.32 Earths,14.377,2016
Kepler-1158 b,4104,6.08 Earths,13.574,2016
Kepler-1159 b,4038,6.21 Earths,14.545,2016
Kepler-115 b,2071,1.32 Earths,13.392,2014
Kepler-115 c,2071,7.27 Earths,13.392,2014
Kepler-1160 b,4218,5.22 Earths,15.8,2016
Kepler-1161 b,1396,5.18 Earths,15.8,2016
Kepler-1162 b,3226,5.52 Earths,15.485,2016
Kepler-1163 b,1589,1.08 Earths,12.118,2016
Kepler-1164 b,1458,1.46 Earths,14.09,2016
Kepler-1165 b,3526,3.02 Earths,14.392,2016
Kepler-1166 b,2114,3.5 Earths,14.466,2016
Kepler-1167 b,2645,3.57 Earths,15.929,2016
Kepler-1168 b,2972,6.8 Earths,15.609,2016
Kepler-1169 b,1755,0.779 Earths,12.685,2016
Kepler-116 b,3203,11.6 Earths,13.689,2014
Kepler-1161 b,1396,5.18 Earths,15.8,2016
Kepler-1162 b,3226,5.52 Earths,15.485,2016
Kepler-1163 b,1589,1.08 Earths,12.118,2016
Kepler-1164 b,1458,1.46 Earths,14.09,2016
Kepler-1165 b,3526,3.02 Earths,14.392,2016
Kepler-1166 b,2114,3.5 Earths,14.466,2016
Kepler-1167 b,2645,3.57 Earths,15.929,2016
Kepler-1168 b,2972,6.8 Earths,15.609,2016
Kepler-1169 b,1755,0.779 Earths,12.685,2016
Kepler-116 b,3203,11.6 Earths,13.689,2014
Kepler-1161 b,1396,5.18 Earths,15.8,2016
Kepler-1162 b,3226,5.52 Earths,15.485,2016
Kepler-1163 b,1589,1.08 Earths,12.118,2016
Kepler-1164 b,1458,1.46 Earths,14.09,2016
Kepler-1165 b,3526,3.02 Earths,14.392,2016
Kepler-1166 b,2114,3.5 Earths,14.466,2016
Kepler-1167 b,2645,3.57 Earths,15.929,2016
Kepler-1168 b,2972,6.8 Earths,15.609,2016
Kepler-1169 b,1755,0.779 Earths,12.685,2016
Kepler-116 b,3203,11.6 Earths,13.689,2014
Kepler-116 c,3203,5.9 Earths,13.689,2014
Kepler-1170 b,2972,6.39 Earths,15.909,2016
Kepler-1171 b,2006,7.08 Earths,11.459,2016
Kepler-1172 b,4215,10.3 Earths,15.846,2016
Kepler-1173 b,1311,0.64 Earths,13.804,2016
Kepler-1174 b,2704,3.15 Earths,14.159,2016
Kepler-1175 b,4058,9.22 Earths,15.916,2016
Kepler-1176 b,3337,6.57 Earths,15.05,2016
Kepler-1177 b,2704,4.27 Earths,14.508,2016
Kepler-1178 b,1096,1.24 Earths,13.96,2016
Kepler-1187 b,3357,7.32 Earths,14.566,2016
Kepler-1188 b,3921,4.98 Earths,14.968,2016
Kepler-1189 b,2880,3.78 Earths,14.249,2016
Kepler-118 b,1904,4.5 Earths,14.719,2014
Kepler-118 c,1904,0.144 Jupiters,14.719,2014
Kepler-1190 b,1253,2.33 Earths,14.494,2016
Kepler-1191 b,2858,2.89 Earths,15.312,2016
Kepler-1192 b,3614,6.17 Earths,15.681,2016
Kepler-1193 b,2267,2.3 Earths,13.421,2016
Kepler-1194 b,2009,2.89 Earths,14.103,2016
Kepler-11 e,2148,8 Earths,14.2,2010
Kepler-11 f,2148,2 Earths,14.2,2010
Kepler-11 g,2148,25 Earths,14.2,2010
Kepler-1200 b,1889,1.2 Earths,15.789,2016
Kepler-1201 b,3921,5.86 Earths,14.7,2016
Kepler-1202 b,4544,8.96 Earths,15.608,2016
Kepler-1203 b,877,1.2 Earths,14.915,2016
Kepler-1204 b,4182,9.53 Earths,15.295,2016
Kepler-1205 b,2499,2.57 Earths,15.13,2016
Kepler-1206 b,2632,3.33 Earths,15.929,2016
Kepler-1207 b,3086,3.26 Earths,14.449,2016
Kepler-1208 b,2861,5.99 Earths,15.946,2016
Kepler-1209 b,1820,2.89 Earths,12.411,2016
Kepler-120 b,1282,8.5 Earths,14.719,2014
Kepler-120 c,1282,2.96 Earths,14.719,2014
Kepler-1210 b,3768,3.53 Earths,15.566,2016
Kepler-1211 b,4847,7.04 Earths,15.828,2016
Kepler-1212 b,4254,5.22 Earths,15.024,2016
Kepler-1213 b,2234,1.81 Earths,13.342,2016
Kepler-1214 b,2469,6.17 Earths,15.223,2016
Kepler-1207 b,3086,3.26 Earths,14.449,2016
Kepler-1208 b,2861,5.99 Earths,15.946,2016
Kepler-1209 b,1820,2.89 Earths,12.411,2016
Kepler-120 b,1282,8.5 Earths,14.719,2014
Kepler-120 c,1282,2.96 Earths,14.719,2014
Kepler-1210 b,3768,3.53 Earths,15.566,2016
Kepler-1211 b,4847,7.04 Earths,15.828,2016
Kepler-1212 b,4254,5.22 Earths,15.024,2016
Kepler-1213 b,2234,1.81 Earths,13.342,2016
Kepler-1214 b,2469,6.17 Earths,15.223,2016
Kepler-1207 b,3086,3.26 Earths,14.449,2016
Kepler-1208 b,2861,5.99 Earths,15.946,2016
Kepler-1209 b,1820,2.89 Earths,12.411,2016
Kepler-120 b,1282,8.5 Earths,14.719,2014
Kepler-120 c,1282,2.96 Earths,14.719,2014
Kepler-1210 b,3768,3.53 Earths,15.566,2016
Kepler-1211 b,4847,7.04 Earths,15.828,2016
Kepler-1212 b,4254,5.22 Earths,15.024,2016
Kepler-1213 b,2234,1.81 Earths,13.342,2016
Kepler-1214 b,2469,6.17 Earths,15.223,2016
Kepler-1207 b,3086,3.26 Earths,14.449,2016
Kepler-1208 b,2861,5.99 Earths,15.946,2016
Kepler-1209 b,1820,2.89 Earths,12.411,2016
Kepler-120 b,1282,8.5 Earths,14.719,2014
Kepler-120 c,1282,2.96 Earths,14.719,2014
Kepler-1210 b,3768,3.53 Earths,15.566,2016
Kepler-1211 b,4847,7.04 Earths,15.828,2016
Kepler-1212 b,4254,5.22 Earths,15.024,2016
Kepler-1213 b,2234,1.81 Earths,13.342,2016
Kepler-1214 b,2469,6.17 Earths,15.223,2016
Kepler-1207 b,3086,3.26 Earths,14.449,2016
Kepler-1208 b,2861,5.99 Earths,15.946,2016
Kepler-1209 b,1820,2.89 Earths,12.411,2016
Kepler-120 b,1282,8.5 Earths,14.719,2014
Kepler-120 c,1282,2.96 Earths,14.719,2014
Kepler-1210 b,3768,3.53 Earths,15.566,2016
Kepler-1211 b,4847,7.04 Earths,15.828,2016
Kepler-1212 b,4254,5.22 Earths,15.024,2016
Kepler-1213 b,2234,1.81 Earths,13.342,2016
Kepler-1214 b,2469,6.17 Earths,15.223,2016
Kepler-1207 b,3086,3.26 Earths,14.449,2016
Kepler-1208 b,2861,5.99 Earths,15.946,2016
Kepler-1209 b,1820,2.89 Earths,12.411,2016
Kepler-120 b,1282,8.5 Earths,14.719,2014
Kepler-120 c,1282,2.96 Earths,14.719,2014
Kepler-1210 b,3768,3.53 Earths,15.566,2016
Kepler-1211 b,4847,7.04 Earths,15.828,2016
Kepler-1212 b,4254,5.22 Earths,15.024,2016
Kepler-1213 b,2234,1.81 Earths,13.342,2016
Kepler-1214 b,2469,6.17 Earths,15.223,2016
Kepler-1207 b,3086,3.26 Earths,14.449,2016
Kepler-1208 b,2861,5.99 Earths,15.946,2016
Kepler-1209 b,1820,2.89 Earths,12.411,2016
Kepler-120 b,1282,8.5 Earths,14.719,2014
Kepler-120 c,1282,2.96 Earths,14.719,2014
Kepler-1210 b,3768,3.53 Earths,15.566,2016
Kepler-1211 b,4847,7.04 Earths,15.828,2016
Kepler-1212 b,4254,5.22 Earths,15.024,2016
Kepler-1213 b,2234,1.81 Earths,13.342,2016
Kepler-1214 b,2469,6.17 Earths,15.223,2016
Kepler-1207 b,3086,3.26 Earths,14.449,2016
Kepler-1208 b,2861,5.99 Earths,15.946,2016
Kepler-1209 b,1820,2.89 Earths,12.411,2016
Kepler-120 b,1282,8.5 Earths,14.719,2014
Kepler-120 c,1282,2.96 Earths,14.719,2014
Kepler-1210 b,3768,3.53 Earths,15.566,2016
Kepler-1211 b,4847,7.04 Earths,15.828,2016
Kepler-1212 b,4254,5.22 Earths,15.024,2016
Kepler-1213 b,2234,1.81 Earths,13.342,2016
Kepler-1214 b,2469,6.17 Earths,15.223,2016
Kepler-1215 b,2287,1.98 Earths,14.425,2016
Kepler-1216 b,3666,2.51 Earths,15.107,2016
Kepler-1217 b,4446,4.62 Earths,15.242,2016
Kepler-1218 b,2176,2.67 Earths,13.551,2016
Kepler-1219 b,2029,5.14 Earths,12.232,2016
Kepler-121 b,1690,6.08 Earths,14.677,2014
Kepler-121 c,1690,5.77 Earths,14.677,2014
Kepler-1220 b,3125,2.92 Earths,14.965,2016
Kepler-1221 b,2965,4.19 Earths,15.58,2016
Kepler-1222 b,1484,0.418 Earths,14.091,2016
Kepler-1215 b,2287,1.98 Earths,14.425,2016
Kepler-1216 b,3666,2.51 Earths,15.107,2016
Kepler-1217 b,4446,4.62 Earths,15.242,2016
Kepler-1218 b,2176,2.67 Earths,13.551,2016
Kepler-1219 b,2029,5.14 Earths,12.232,2016
Kepler-121 b,1690,6.08 Earths,14.677,2014
Kepler-121 c,1690,5.77 Earths,14.677,2014
Kepler-1220 b,3125,2.92 Earths,14.965,2016
Kepler-1221 b,2965,4.19 Earths,15.58,2016
Kepler-1222 b,1484,0.418 Earths,14.091,2016
Kepler-1215 b,2287,1.98 Earths,14.425,2016
Kepler-1216 b,3666,2.51 Earths,15.107,2016
Kepler-1217 b,4446,4.62 Earths,15.242,2016
Kepler-1218 b,2176,2.67 Earths,13.551,2016
Kepler-1219 b,2029,5.14 Earths,12.232,2016
Kepler-121 b,1690,6.08 Earths,14.677,2014
Kepler-121 c,1690,5.77 Earths,14.677,2014
Kepler-1220 b,3125,2.92 Earths,14.965,2016
Kepler-1221 b,2965,4.19 Earths,15.58,2016
Kepler-1222 b,1484,0.418 Earths,14.091,2016
Kepler-122 e,3453,27.7 Earths,14.222,2014
Kepler-122 f,3453,36 Earths,14.222,2014
Kepler-1230 b,4674,7.8 Earths,15.274,2016
Kepler-1231 b,3092,2.6 Earths,14.714,2016
Kepler-1232 b,2414,4.38 Earths,14.762,2016
Kepler-1233 b,4179,7.27 Earths,14.659,2016
Kepler-1234 b,2825,8.3 Earths,15.878,2016
Kepler-1235 b,1739,0.418 Earths,13.877,2016
Kepler-1236 b,3516,5.22 Earths,15.925,2016
Kepler-1237 b,3657,8.55 Earths,15.755,2016
Kepler-122 e,3453,27.7 Earths,14.222,2014
Kepler-122 f,3453,36 Earths,14.222,2014
Kepler-1230 b,4674,7.8 Earths,15.274,2016
Kepler-1231 b,3092,2.6 Earths,14.714,2016
Kepler-1232 b,2414,4.38 Earths,14.762,2016
Kepler-1233 b,4179,7.27 Earths,14.659,2016
Kepler-1234 b,2825,8.3 Earths,15.878,2016
Kepler-1235 b,1739,0.418 Earths,13.877,2016
Kepler-1236 b,3516,5.22 Earths,15.925,2016
Kepler-1237 b,3657,8.55 Earths,15.755,2016
Kepler-1245 c,2809,2.67 Earths,15.372,2016
Kepler-1246 b,1419,2.42 Earths,15.032,2016
Kepler-1247 b,3569,6.04 Earths,15.901,2016
Kepler-1248 b,1761,1.76 Earths,12.925,2016
Kepler-1249 b,5461,6.26 Earths,15.352,2016
Kepler-124 b,1387,0.315 Earths,14.124,2014
Kepler-124 c,1387,3.71 Earths,14.124,2014
Kepler-124 d,1387,1.41 Earths,14.124,2014
Kepler-1250 b,4472,4.35 Earths,15.569,2016
Kepler-1251 b,2815,4.04 Earths,14.939,2016
Kepler-1268 b,4586,4.78 Earths,15.222,2016
Kepler-1269 b,2316,3.29 Earths,13.57,2016
Kepler-126 b,780,2.92 Earths,10.454,2014
Kepler-126 c,780,3.12 Earths,10.454,2014
Kepler-126 d,780,6.8 Earths,10.454,2014
Kepler-1270 b,3927,11 Earths,13.285,2016
Kepler-1271 b,2887,2.79 Earths,13.868,2016
Kepler-1272 b,2923,6.21 Earths,14.384,2016
Kepler-1273 b,4420,6.76 Earths,15.796,2016
Kepler-1274 b,1987,2.6 Earths,11.682,2016
Kepler-1268 b,4586,4.78 Earths,15.222,2016
Kepler-1269 b,2316,3.29 Earths,13.57,2016
Kepler-126 b,780,2.92 Earths,10.454,2014
Kepler-126 c,780,3.12 Earths,10.454,2014
Kepler-126 d,780,6.8 Earths,10.454,2014
Kepler-1270 b,3927,11 Earths,13.285,2016
Kepler-1271 b,2887,2.79 Earths,13.868,2016
Kepler-1272 b,2923,6.21 Earths,14.384,2016
Kepler-1273 b,4420,6.76 Earths,15.796,2016
Kepler-1274 b,1987,2.6 Earths,11.682,2016
Kepler-1268 b,4586,4.78 Earths,15.222,2016
Kepler-1269 b,2316,3.29 Earths,13.57,2016
Kepler-126 b,780,2.92 Earths,10.454,2014
Kepler-126 c,780,3.12 Earths,10.454,2014
Kepler-126 d,780,6.8 Earths,10.454,2014
Kepler-1270 b,3927,11 Earths,13.285,2016
Kepler-1271 b,2887,2.79 Earths,13.868,2016
Kepler-1272 b,2923,6.21 Earths,14.384,2016
Kepler-1273 b,4420,6.76 Earths,15.796,2016
Kepler-1274 b,1987,2.6 Earths,11.682,2016
Kepler-1268 b,4586,4.78 Earths,15.222,2016
Kepler-1269 b,2316,3.29 Earths,13.57,2016
Kepler-126 b,780,2.92 Earths,10.454,2014
Kepler-126 c,780,3.12 Earths,10.454,2014
Kepler-126 d,780,6.8 Earths,10.454,2014
Kepler-1270 b,3927,11 Earths,13.285,2016
Kepler-1271 b,2887,2.79 Earths,13.868,2016
Kepler-1272 b,2923,6.21 Earths,14.384,2016
Kepler-1273 b,4420,6.76 Earths,15.796,2016
Kepler-1274 b,1987,2.6 Earths,11.682,2016
Kepler-1268 b,4586,4.78 Earths,15.222,2016
Kepler-1269 b,2316,3.29 Earths,13.57,2016
Kepler-126 b,780,2.92 Earths,10.454,2014
Kepler-126 c,780,3.12 Earths,10.454,2014
Kepler-126 d,780,6.8 Earths,10.454,2014
Kepler-1270 b,3927,11 Earths,13.285,2016
Kepler-1271 b,2887,2.79 Earths,13.868,2016
Kepler-1272 b,2923,6.21 Earths,14.384,2016
Kepler-1273 b,4420,6.76 Earths,15.796,2016
Kepler-1274 b,1987,2.6 Earths,11.682,2016
Kepler-1268 b,4586,4.78 Earths,15.222,2016
Kepler-1269 b,2316,3.29 Earths,13.57,2016
Kepler-126 b,780,2.92 Earths,10.454,2014
Kepler-126 c,780,3.12 Earths,10.454,2014
Kepler-126 d,780,6.8 Earths,10.454,2014
Kepler-1270 b,3927,11 Earths,13.285,2016
Kepler-1271 b,2887,2.79 Earths,13.868,2016
Kepler-1272 b,2923,6.21 Earths,14.384,2016
Kepler-1273 b,4420,6.76 Earths,15.796,2016
Kepler-1274 b,1987,2.6 Earths,11.682,2016
Kepler-1268 b,4586,4.78 Earths,15.222,2016
Kepler-1269 b,2316,3.29 Earths,13.57,2016
Kepler-126 b,780,2.92 Earths,10.454,2014
Kepler-126 c,780,3.12 Earths,10.454,2014
Kepler-126 d,780,6.8 Earths,10.454,2014
Kepler-1270 b,3927,11 Earths,13.285,2016
Kepler-1271 b,2887,2.79 Earths,13.868,2016
Kepler-1272 b,2923,6.21 Earths,14.384,2016
Kepler-1273 b,4420,6.76 Earths,15.796,2016
Kepler-1274 b,1987,2.6 Earths,11.682,2016
Kepler-1275 b,4175,2.79 Earths,14.406,2016
Kepler-1276 b,1915,1.81 Earths,12.848,2016
Kepler-1277 b,1977,3.19 Earths,14.093,2016
Kepler-1278 b,2424,1.01 Earths,13.632,2016
Kepler-1279 b,3317,3.71 Earths,13.932,2016
Kepler-127 b,1163,2.54 Earths,11.438,2014
Kepler-127 c,1163,7.56 Earths,11.438,2014
Kepler-127 d,1163,7.46 Earths,11.438,2014
Kepler-1280 b,3282,4.16 Earths,14,2016
Kepler-1281 b,3556,3.33 Earths,15.997,2016
Kepler-1275 b,4175,2.79 Earths,14.406,2016
Kepler-1276 b,1915,1.81 Earths,12.848,2016
Kepler-1277 b,1977,3.19 Earths,14.093,2016
Kepler-1278 b,2424,1.01 Earths,13.632,2016
